objectid,hospital_category,hospital_name,hospital_id,no_of_wards,district_name,source,gfcode,description,x_coordinate,y_coordinate,province_name,address,gon_division,telephone,institute,ownership
"14026",Clinic,Habarakada Clinic,"3333",,Colombo,,,,"80.018159","6.878928",Western, , , ,Habarakada Clinic, 
"14182",Clinic,Atigala Clinic,"3335",,Colombo,,,,"80.057689","6.904067",Western, , , ,Atigala Clinic, 
"13099",Clinic,Clinic - Analaitivu DH,"8344",,Jaffna,,,,"79.76224","9.66607",Northern, , , ,Clinic - Analaitivu DH, 
"13184",Clinic,Clinic - Mahawewa MOH,"8496",,Puttalam,,,,"79.834337","7.43308",North Western, , , ,Clinic - Mahawewa MOH, 
"14907",PMCU,PMCU - Balalla,"7173",,Kurunegala,,,,"80.2507","7.803036",North Western, , , ,PMCU - Balalla, 
"13213",Clinic,Iddamalgama,"5123",,Puttalam,,,,"79.843325","7.421275",North Western, , ,"778372541",Iddamalgama, 
"13328",Clinic,Clinic - Kalubowila,"7535",,Colombo,,,,"79.869248","6.864117",Western, , , ,Clinic - Kalubowila, 
"15341",Clinic,Clinic - Polpagoda,"7489",,Galle,,,,"80.363546","6.087429",Southern, , , ,Clinic - Polpagoda, 
"13359",Clinic,Angulana Kaldemulla Clinic,"3230",,Colombo,,,,"79.875371","6.798704",Western, , , ,Angulana Kaldemulla Clinic, 
"13446",Clinic,Atthidiya Clinic,"3238",,Colombo,,,,"79.885789","6.836778",Western, , , ,Atthidiya Clinic, 
"16599",Clinic,Warakamura Clinic,"6477",,Matale,,,,"80.622668","7.432752",Central, , , ,Warakamura Clinic, 
"16710",Clinic,Udaweraga Clinc,"6457",,Matale,,,,"80.639483","7.468513",Central, , , ,Udaweraga Clinc, 
"16756",Clinic,Udatenna,"6470",,Matale,,,,"80.649173","7.431286",Central, , , ,Udatenna, 
"13448",Clinic,Clinic - Wilpotha PMCU,"8479",,Puttalam,,,,"79.885951","7.757281",North Western, , , ,Clinic - Wilpotha PMCU, 
"13478",Clinic,Clinic - Katubedda,"7557",,Colombo,,,,"79.89243","6.798045",Western, , , ,Clinic - Katubedda, 
"13479",Clinic,Clinic - Obesekarapura,"2220",,Colombo,,,,"79.892648","6.916351",Western, , , ,Clinic - Obesekarapura, 
"13480",Clinic,Moratumulla Clinic,"3217",,Colombo,,,,"79.8929","6.787337",Western, , , ,Moratumulla Clinic, 
"13567",Clinic,Clinic - Andiambalama PMCU,"8571",,Gampaha,,,,"79.909795","7.184007",Western, , , ,Clinic - Andiambalama PMCU, 
"13597",Clinic,Clinic - Buthgamuwa,"7526",,Colombo,,,,"79.918883","6.942573",Western, , , ,Clinic - Buthgamuwa, 
"17913",Clinic,Clinic - Koslanda DH,"8140",,Badulla,,,,"81.016808","6.738356",Uva, , , ,Clinic - Koslanda DH, 
"13797",Clinic,Clinic - Hewagama/ Brook wattha,"2195",,Colombo,,,,"79.96724","6.929956",Western, ,Hewagama, ,Clinic - Hewagama/ Brook wattha, 
"13826",Clinic,Wethara Clinic,"3326",,Colombo,,,,"79.975614","6.784694",Western, , , ,Wethara Clinic, 
"18454",Clinic,Therappahuwa,"6836",,Monaragala,,,,"81.285516","6.898114",Uva, ,Therappahuwa, ,Therappahuwa, 
"13854",Clinic,Kahathuduwa Clinic,"3331",,Colombo,,,,"79.980888","6.819796",Western, , , ,Kahathuduwa Clinic, 
"13855",Clinic,Clinic - Kahathuduwa MOH Central,"7551",,Colombo,,,,"79.980888","6.819796",Western, , , ,Clinic - Kahathuduwa MOH Central, 
"13071",Divisional Hospital,Divisional Hospital - Delft,"7218",,Jaffna,,,,"79.69244","9.52547",Northern,"6th ward, Delft Center", , ,Divisional Hospital - Delft, 
"16632",Clinic,Melpitiya Clinic,"7390",,Matale,,,,"80.626715","7.697586",Central, , , ,Melpitiya Clinic, 
"17688",Clinic,Mahawatenna,"6219",,Matale,,,,"80.937971","7.515762",Central, , , ,Mahawatenna, 
"17768",Clinic,Nikapotha - Clinic,"7296",,Badulla,,,,"80.973199","6.745293",Uva, , , ,Nikapotha - Clinic, 
"13072",Clinic,Clinic - DH Delft,"8347",,Jaffna,,,,"79.69244","9.52547",Northern, , , ,Clinic - DH Delft, 
"13073",PMCU,PMCU Kandakuda,"5227",,Puttalam,,,,"79.718351","8.141777",North Western,"90 Acres, Kandakuda, Thalawila",Kandakuda,"722138360",PMCU Kandakuda, 
"13074",Clinic,Clinic - Kandakuda PMCU,"8457",,Puttalam,,,,"79.718351","8.141777",North Western, , , ,Clinic - Kandakuda PMCU, 
"13075",Clinic,Mudhalappali,"5224",,Puttalam,,,,"79.721462","8.156573",North Western,"Mudhalappali, Kalpitiya",Mudalappali,"722138360",Mudhalappali, 
"13076",Clinic,Kandakuliya,"5231",,Puttalam,,,,"79.722899","8.213512",North Western,"Kandakuliya, Kalpitiya",Kandakuliya,"717310678",Kandakuliya, 
